,title,url,text
0,린넨 라이크 세미 와이드 밴딩 팬츠 세트,https://www.musinsa.com/app/goods/1924274?loc=goods_rank,"['기장도 좋고, 핏도 예쁩니다.!! 무엇 보다 시원해서, 이번 여름 이 바지로 잘 보낼 수 있을거 같습니다.!!', '예쁜데 린넨의.느낌이 막 나지는 않습니다\n살짝 길어서 허리 한번 접고 입는중', '이거 핏도 좋구 주변 사람들도 다 이쁘다고 했어요 굿', '친구 추천으로 샀는데 예뻐요 린넨바지 필요했는데 좋아요', '옷은 시원해서 여름에 입기 좋아요 사이즈도 널널합니다', '가성비 좋고 핏도 좋네요 매년 구매할 거 같습니당', '그냥저냥 입기 딱 좋아요. 딱 가성비 느낌?? 여름에 입기에 원단이 얇아서 좋고 상 하의 루즈하게 핏 가져갈 때 좋은거같아요', '바지가 너무 편해요\n딱 지금 날씨에\n나풀나풀하게 입을수 있고 시원해요', '옷 정말 마음에 듭니다 시원하고 자주입는중이에요', '린넨 소재라 시원하고 핏감도 예쁘게 잘 떨어져요', '벤딩이 퀄리티가 좋아서 조이기 좋고 통도 딱 좋아요!\nS 시켰는데 기장은 아주 조금 기네여!', '핏도 괜찮고 이뻐요 여름에 입기 적당하고 깔끔해요', '흰옷이랑도 잘 어울리고 다른 색이랑도 어지간하면 어울려요 대충 집앞 나갈때 입기 좋은 옷입니다.', '땀 안차고 시원해요 !!\n최애 여름 바지 됐어요\n여기저기 다 입고 다녀야지', '예쁨 약간 한지같은 바지 라고 해야하나 아이보리 느낌인데 뭐가 포인트가 있는옷이에요', '키 158인데 8센치 잘랐어요 남자사이즈라 전체적으로 크기는 한대 허리가 끈조절이 되어서 입을만해요 대신 엉덩이는 좀 큼ㅎ 편하게 입기딱이에요 엄청 편해요 회사에 대충 입고가기 딱이에여', '재질도 시원해서 여름에 입기 좋아요. 색도 무난무난해서 어디에도 잘 어울려요.', '여름에 입을려고 샀는데 길이도 딱 적당하고 핏이 예쁘네요', '편하게 입기에 가장 좋고 길이는 사진보다 더 긴거라고 참고하시면 좋아요. 한여름에도 입을 수 있고 촉감도 좋아서 괜찮아요', '일할 때 입을 편할 바지로 구매했습니다. 여름에 딱 맞고 이 가격에 두 장이라 가성비 좋네요']"
1,에센셜 쿨 코튼 2-PACK 티셔츠,https://www.musinsa.com/app/goods/1848166?loc=goods_rank,"['가성비가 일단 좋고, 이너웨어도 좋고 여름에 편하게 기본티로 입기 딱 좋습니당. 2번째 구매는 안비밀', '얇고 찰랑찰랑해서 좋아요 기본티로 맨날 입고 다닙니다', '쿨링티의 스탠다드라고 생각합니다. 두께도 적당하고 핏감도 좋습니다.', '핏 너무 예쁘고 너무 얇지도 두껍지도 않아서 원툴 이너용 둘다 굳굳', '실내에 있으면 시원한 소재지만, 외출하면 그렇게 쿨 소재라는 실감이 나지는 않습니다. 그래도 튼튼하고 마감이 잘 되어있는 것 같아서 좋아요.', '남편이랑 커플로 잘 입고 있습니다\n좋은가격에 2pack이라 더 좋네요', '확실히 쿨이라 시원하고 땀흡수도 엄청나네요 만족!', '여름에 시원하게 잘입을듯해요 레이어드도 용이할듯합니다', '역시 커버낫 기본티 충실함 세번째 구입합니다 젛아여', '옷 소재도 면 100프로가 아니라서 너무 시원하고 빨래 여러번 졸려도 변색 없습니다!', '어디 나갈때 검은티 흰티 번갈아 가면서 입을수 있어서 너무 좋아요', '비칠까봐 걱정했는데 너무 좋아요. 다른 옷하고 잘 어울리네요', '기본티로 입기 완벽합니다.\n크게입어도 굿 딱맞게입어도 굿\n어느스타일로입어도 무난하게 입을수있습니당', '솔직히 너무 편해요.. 제질도 너무 좋고 잘샀다고 생각됩니다.. 옷이 크긴 커서 한 사이즈 작은 거 사도 굳굳', '160 에스 사이즈 넉넉하고 괜찮아요 딱 적당한 오버핏인듯 ㅎㅎ', '면은 살짝 두께감이 있어서 안이 비치지 않고 신체가 다 드러나지 않아요! 무난하게 잘 입을 수 있는 옷이에요', '편하게 입기좋습니다. 단지 목부분이 좁아서 입고 벗을따 살짝 불편합니다. 이외에는 굿!!', '핏이 잘맞구 착용감이 좋네요 싸이즈도 적당하네요', '적당한 오버핏이고 너무 두껍지않아 여름에 입기 딱이에요', '무지티에 가장 적합하고 여름에 입기 아주 좋습니다']"
2,SL01 섬머 데님 와이드 팬츠 (RAW INDIGO),https://www.musinsa.com/app/goods/1885631?loc=goods_rank,
3,스타일 36 데콘 SF - (스웨이드/캔버스) 블랙:마쉬멜로우 / VN0A3MVL2251,https://www.musinsa.com/app/goods/2296705?loc=goods_rank,
4,플립플랍 ZEROVITY BIO 블랙,https://www.musinsa.com/app/goods/1439527?loc=goods_rank,
5,유니섹스 세미 와이드 밴딩 슬랙스,https://www.musinsa.com/app/goods/750908?loc=goods_rank,
6,아크 블랙 메신저백,https://www.musinsa.com/app/goods/1789507?loc=goods_rank,
7,산토리니 샌들 레더 블랙 552,https://www.musinsa.com/app/goods/1419869?loc=goods_rank,
8,쿨 썸머 에센셜 오픈 카라 니트티 BLACK,https://www.musinsa.com/app/goods/1882658?loc=goods_rank,
9,빅 트위치 로고 티셔츠 블랙,https://www.musinsa.com/app/goods/1793420?loc=goods_rank,
10,[패키지][페플] 스테이 얼론 + 보드마스터 그래픽 티셔츠 2PACK ( JDST1315+JDST1358),https://www.musinsa.com/app/goods/1921901?loc=goods_rank,
11,린넨 라이크 카라 하프 니트 - 8 COLOR,https://www.musinsa.com/app/goods/1954316?loc=goods_rank,
12,원턱 와이드 스웨트팬츠 그레이,https://www.musinsa.com/app/goods/2112059?loc=goods_rank,
13,빅 트위치 로고 티셔츠 레드,https://www.musinsa.com/app/goods/1793413?loc=goods_rank,
14,나틸라 블랙 샌들 24641001,https://www.musinsa.com/app/goods/1010925?loc=goods_rank,
15,(22SS) 2 TONE ARCH TEE ROYAL BLUE,https://www.musinsa.com/app/goods/2471760?loc=goods_rank,
16,플립플랍 ZEROVITY BIO 크림,https://www.musinsa.com/app/goods/1439535?loc=goods_rank,
17,[최현욱 착용](22SS) 2 TONE ARCH TEE WHITE,https://www.musinsa.com/app/goods/1841764?loc=goods_rank,
18,포멀릭 리브드 티셔츠 [BLUEGREY],https://www.musinsa.com/app/goods/2510177?loc=goods_rank,
19,빅 트위치 로고 티셔츠 화이트,https://www.musinsa.com/app/goods/903340?loc=goods_rank,
20,와이드 히든 밴딩 슬랙스 [미디엄 그레이],https://www.musinsa.com/app/goods/1222184?loc=goods_rank,
21,척 70 빈티지 캔버스 러쉬블루 168514C,https://www.musinsa.com/app/goods/1493265?loc=goods_rank,
22,스타일 36 - (레트로 스포츠) 앰버글로우:마리골드/ VN0A3DZ3VXY1,https://www.musinsa.com/app/goods/2286482?loc=goods_rank,
23,시티보이 빅오버 옥스포드 반팔 셔츠_Sky Blue,https://www.musinsa.com/app/goods/1935180?loc=goods_rank,
24,척 70 클래식 블랙 162058C,https://www.musinsa.com/app/goods/810034?loc=goods_rank,
25,[유아인 착용 상품]와이드 히든 밴딩 슬랙스 [블랙],https://www.musinsa.com/app/goods/1168906?loc=goods_rank,
26,듀스 네로 반팔티 화이트,https://www.musinsa.com/app/goods/2368712?loc=goods_rank,
27,Turn me On - MOD7w,https://www.musinsa.com/app/goods/1573215?loc=goods_rank,
28,척 70 빈티지 캔버스 미드나잇클로버 168513C,https://www.musinsa.com/app/goods/1493229?loc=goods_rank,
29,스타일 36 데콘 SF - 블랙:화이트 / VN0A3MVLY281,https://www.musinsa.com/app/goods/733453?loc=goods_rank,
30,7 / 29 배송 [쿨탠다드] 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],https://www.musinsa.com/app/goods/1440874?loc=goods_rank,
31,[송필드 PICK][SET] CGP 아치 로고 반팔 크루넥 셋업_멜란지그레이,https://www.musinsa.com/app/goods/2456003?loc=goods_rank,
32,올드스쿨 뮬 - 블랙/트루화이트/ VN0A3MUS6BT1,https://www.musinsa.com/app/goods/755374?loc=goods_rank,
33,011502 폴로 피케 반팔티,https://www.musinsa.com/app/goods/1871984?loc=goods_rank,
34,Deep One Tuck Sweat Shorts [Grey],https://www.musinsa.com/app/goods/1926048?loc=goods_rank,
35,BW 아미 - 화이트 / BZ0579,https://www.musinsa.com/app/goods/577636?loc=goods_rank,
36,미시간 울버린 피그먼트 반팔티 블랙차콜,https://www.musinsa.com/app/goods/1884943?loc=goods_rank,
37,린넨 이지 와이드 데님 팬츠 딥인디고,https://www.musinsa.com/app/goods/2503134?loc=goods_rank,
38,DSN-Logo Tee White,https://www.musinsa.com/app/goods/2398381?loc=goods_rank,
39,[쿨탠다드] 세미 와이드 히든 밴딩 슬랙스 [블랙],https://www.musinsa.com/app/goods/1436504?loc=goods_rank,
40,[ONEMILE WEAR] 3PACK SMALL ARCH OVERSIZED SS SHIRT WHITE / BLUE + SMALL ARCH TEE WHITE,https://www.musinsa.com/app/goods/2611103?loc=goods_rank,
41,미니멀 스퀘어 하드레더 벨트,https://www.musinsa.com/app/goods/1961481?loc=goods_rank,
42,시티보이 빅오버 옥스포드 반팔 셔츠_White,https://www.musinsa.com/app/goods/1935174?loc=goods_rank,
43,[세트][선택] 워싱 린넨 셋업 블랙,https://www.musinsa.com/app/goods/2621630?loc=goods_rank,
44,[유아인 착용 상품]테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],https://www.musinsa.com/app/goods/1149328?loc=goods_rank,
45,옥스퍼드 A-라인 오버핏 하프 셔츠 블루,https://www.musinsa.com/app/goods/2524456?loc=goods_rank,
46,1967 JET BLACK JEANS [WIDE STRAIGHT],https://www.musinsa.com/app/goods/1552753?loc=goods_rank,
47,2PACK 수피마 코튼 티셔츠,https://www.musinsa.com/app/goods/2479911?loc=goods_rank,
48,어센틱 뮬 - (캔버스) 클래식 화이트:트루 화이트 / VN0A54F7JTT1,https://www.musinsa.com/app/goods/1798263?loc=goods_rank,
49,라이트웨이트 크루 삭스 7팩 [화이트],https://www.musinsa.com/app/goods/991339?loc=goods_rank,
50,[세트] 반팔티+반바지,https://www.musinsa.com/app/goods/1396653?loc=goods_rank,
51,101 나파 블랙 / 26409001,https://www.musinsa.com/app/goods/2322214?loc=goods_rank,
52,Black Stardust - MOD1w,https://www.musinsa.com/app/goods/2107115?loc=goods_rank,
53,[쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],https://www.musinsa.com/app/goods/1388775?loc=goods_rank,
54,엔젤 스트라이프 반팔 티셔츠 블랙,https://www.musinsa.com/app/goods/1403092?loc=goods_rank,
55,[핏더사이즈PICK]COMFORT RIP STRING PANTS_OLIVE GREEN,https://www.musinsa.com/app/goods/2493652?loc=goods_rank,
56,7 / 22 배송 오버사이즈 풀오버 카라 반팔 셔츠 [BLACK],https://www.musinsa.com/app/goods/2510196?loc=goods_rank,
57,바스켓 컴피 - 화이트:블랙 / 381193-02,https://www.musinsa.com/app/goods/2153668?loc=goods_rank,
58,루즈핏 오픈카라 텐셀 린넨 셔츠 [네이비],https://www.musinsa.com/app/goods/1008043?loc=goods_rank,
59,부클 카라 반팔 니트 - 5 COLOR,https://www.musinsa.com/app/goods/2487717?loc=goods_rank,
60,22S/S 오버핏 피케티셔츠 (블랙),https://www.musinsa.com/app/goods/1031260?loc=goods_rank,
61,아리조나 에바 블랙 129421,https://www.musinsa.com/app/goods/324275?loc=goods_rank,
62,[패키지] 핀스 오버핏 카라 반팔티 2PACK YHST2354,https://www.musinsa.com/app/goods/1911516?loc=goods_rank,
63,린넨 라이크 세미 와이드 밴딩 팬츠 - 4 COLOR,https://www.musinsa.com/app/goods/1923315?loc=goods_rank,
64,TSHIRT FLOWERMARDI_IVORY NAVY,https://www.musinsa.com/app/goods/2453556?loc=goods_rank,
65,7 / 21 배송 썸머 선페이드 셔츠,https://www.musinsa.com/app/goods/2492728?loc=goods_rank,
66,썸머 더블턱 와이드 슬랙스[블랙],https://www.musinsa.com/app/goods/2578996?loc=goods_rank,
67,[송필드 PICK][SET] CGP 심플 로고 반팔 크루넥 셋업_오트밀,https://www.musinsa.com/app/goods/2457846?loc=goods_rank,
68,척 70 클래식 블랙 162050C,https://www.musinsa.com/app/goods/810033?loc=goods_rank,
69,척테일러 올스타 블랙 옥스 M9166C,https://www.musinsa.com/app/goods/311052?loc=goods_rank,
70,[유아인 착용 상품]세미 와이드 히든 밴딩 슬랙스 [블랙],https://www.musinsa.com/app/goods/1149329?loc=goods_rank,
71,[ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK,https://www.musinsa.com/app/goods/2442409?loc=goods_rank,
72,NM2DN51A_빅샷,https://www.musinsa.com/app/goods/1034480?loc=goods_rank,
73,슈퍼스타 - 블랙:화이트 / EG4959,https://www.musinsa.com/app/goods/1622069?loc=goods_rank,
74,Deep One Tuck Sweat Pants [Grey],https://www.musinsa.com/app/goods/1551840?loc=goods_rank,
75,마일즈 블랙 슬리퍼 23523001,https://www.musinsa.com/app/goods/1334438?loc=goods_rank,
76,브루클린 뉴트로 와이드 워시드 데님 팬츠,https://www.musinsa.com/app/goods/2358429?loc=goods_rank,
77,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],https://www.musinsa.com/app/goods/1675527?loc=goods_rank,
